name,ticker,nomicsid,coingeckoid,statuses,statusreasoning,primarysector,secondarysector,facts_data,opinions,rm_tr,format,coingeckolink,assetdescription,tokendescription,watchlist,messarilink
0.exchange,ZERO,ZERO,zero-exchange,Delisted,"-  Limited access to liquidity
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on Uniswap is very poor.
",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/0-exchange,null,null,FALSE,https://messari.io/asset/zero-exchange
0x,ZRX,ZRX,0x,Active,null,Computing,Oracle,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/0x,0x is a permissionless protocol to facilitate trading of Ethereum based tokens including ERC-20_ ERC-721_ and other Ethereum standards. 0x is not itself a decentralized exchange_ but instead a system of smart contracts that connects liquidity providers and market makers in order to provide exchange functionality in a range of applications.,0x's own Ethereum token (ZRX) is used to pay trading fees to relayers_ which are used to connect makers with takers.e max supply of this token has a max supply of 1_000_000_000.,FALSE,https://messari.io/asset/0x
1inch,1INCH,1INCH,1inch,Active,null,DeFi,Exchanges (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/1inch,The 1inch Network unites three separate decentralized protocols_ aggregating liquidity from a variety of decentralized exchanges to facilitate cost-efficient transactions.,Its native token_ the 1inch token (1INCH) serves two primary purposes: As a governance token granting voting rights towards the 1inch DAO and as a utility token_ where it is used as a connector to achieve high-efficiency routing in the 1inch Liquidity Protocol. It will also be used in the tokenomics of all future protocols developed by the 1inch Network.,FALSE,https://messari.io/asset/1inch
88mph,MPH,MPH2,88mph,Delisted,"- Only listed on two supported decentralised exchanges - Uniswap & Sushiswap
- Liquidity on Uniswap and Sushiswap is very poor",DeFi,Yield,Yes,Yes,No,null,https://www.coingecko.com/en/coins/88mph,null,null,FALSE,https://messari.io/asset/88mph
Aave [New],AAVE,AAVE,aave,Active,null,DeFi,Lending / Borrowing,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/aave,Aave is an open-source and non-custodial protocol to earn interest on deposits and borrow assets with a variable or stable interest rate. It also enables ultra-short duration_ uncollateralized flash loans designed to be integrated into other products and services.,"LEND tokens will be used to govern Aave protocol. Features include proposing_ voting and deciding on new additions_ features_ assets and to decide on the protocol parameters.
Additionally LEND token is burnt based on the fees gathered by the protocol. There is 16 million tokens.",FALSE,https://messari.io/asset/aave
Abyss Token,ABYSS,ABYSS2,the-abyss,Delisted,- Token no longer has any active markets we are able to safely trade,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/abyss,null,null,FALSE,https://messari.io/asset/the-abyss
ADbank,ADB,ADB,adbank,Delisted,"- Token only on Kucoin
- Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/adbank,null,null,FALSE,null
AdEx Old Token,ADXOLD,ADXOLD,adex,Delisted,Old token version,null,null,Yes,Yes,No,null,null,null,null,FALSE,null
aelf,ELF,ELF,aelf,Active,null,Computing,Shared Network,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/aelf,ælf looks to permit scalability and extensibility through a multi-layer branching structure formed by a main chain and multiple levels of side-chains.,ELF token- The main token on the aelf platform_ used for transaction fees_ side-chain index fees_ production nodes deposits_ voting_ and block rewards.The max supply of this token is 879_999_999.,FALSE,https://messari.io/asset/aelf1
Aeon,AEON,AEON,aeon,Delisted,- Limited access to liquidity,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/aeon,null,null,FALSE,https://messari.io/asset/aeon
Aergo,AERGO,AERGO,aergo,Active,null,Currency,Payments,Yes,Yes,No,null,https://www.coingecko.com/en/coins/aergo,null,null,TRUE,https://messari.io/asset/aergo
